OT/NT,Chapter,Question
OT,,Deuteronomy 7 : 26
OT,,Deuteronomy 22 : 5
OT,,Psalms 1 : 1
OT,,Psalms 1 : 2
OT,,Psalms 18 : 35
OT,,Psalms 20 : 6
OT,,Psalms 104 : 24
OT,,Psalms 119 : 9
OT,,Psalms 119 : 11
OT,,Proverbs 31 : 4
OT,,Proverbs 31 : 5
OT,,Ecclesiastes 5 : 12
OT,,Isaiah 14 : 11
OT,,Isaiah 59 : 19
OT,,Jeremiah 9 : 24
OT,,Jeremiah 35 : 14
OT,,Daniel 2 : 47
OT,,Ezekiel 36 : 26
OT,,Ezekiel 36 : 27
OT,,Habakkuk 2 : 5
NT,,Matthew 5 : 28
NT,,Luke 16 : 24
NT,,Acts 2 : 44
NT,,Romans 11 : 33
NT,,Romans 12 : 1
NT,,1 Corinthians 3 : 17
NT,,1 Corinthians 6 : 20
NT,,1 Corinthians 10 : 23
NT,,2 Corinthians 4 : 4
NT,,Galatians 1 : 3
NT,,Galatians 1 : 4
NT,,Galatians 5 : 19
NT,,Galatians 5 : 20
NT,,Galatians 5 : 21
NT,,Colossians 1 : 21
NT,,Colossians 1 : 23
NT,,Colossians 2 : 3
NT,,Colossians 3 : 16
NT,,1 Thess 4 : 3
NT,,1 Timothy 6 : 10
NT,,2 Timothy 3 : 16
NT,,2 Timothy 3 : 17
NT,,Titus 2 : 12
NT,,Titus 2 : 13
NT,,James 4 : 4
NT,,1 Peter 3 : 3
NT,,1 Peter 3 : 4
NT,,1 Peter 5 : 8
NT,,2 Peter 1 : 4
